DATE,2016/4/10,22:58,,,,,,,,,,,,,,,
Operator,2962106,Lot No.,6.00E+11,Kind name,POR_SL2,Inspection No.,1,,,,,,,,,,
Chip No.,Chip ID,bump No.,Core No.,SRO,bump group,CAD X,CAD Y,X coordinate,Y coordinate,alignment,total height,plane height,bump height,bump coplanarity,bump caw,bump diameter,Judge
7,A019,1,1,0,2,-4152.32,431.57,-44147.51,40431.56,2.37,108.95,66.28,56.67,1.53,-0.36,46.41,OK  
7,A019,2,1,0,2,-4150,205,-44146.11,40198.36,3.54,107.31,66.37,40.94,-0.2,-0.33,36.17,OK  
7,A019,3,1,0,2,-4150,74.24,-44145.32,40066.21,4.47,108.17,66.57,41.6,0.6,-0.16,44.73,OK  
7,A019,4,1,0,2,-4150,-56.49,-44144.57,39941.83,2.7,108.66,66.82,55.84,1.05,0.06,46.41,OK  
7,A019,5,1,0,2,-4150,-187.22,-44143.78,39809.69,4.17,105.6,67.08,38.52,-2.07,0.28,54.07,OK  
7,A019,6,1,0,2,-4150,-317.98,-44142.99,39677.54,4.32,108.67,67.57,41.11,0.96,0.74,46.41,OK  
7,A019,7,1,0,2,-4150,-448.72,-44149.97,39545.34,3.81,108.37,67.52,40.85,0.56,0.62,48.04,OK  
7,A019,8,1,0,2,-4150,-579.45,-44149.22,39420.96,2.82,105.45,67.2,38.26,-2.4,0.27,52.63,OK  
7,A019,9,1,0,2,-4150,-710.21,-44148.43,39288.81,3.04,109.1,67.33,55.77,1.19,0.37,47.24,OK  
7,A019,10,1,0,2,-4150,-840.94,-44139.86,39156.71,4.11,109.23,67.39,41.84,1.31,0.43,45.58,OK  
7,A019,11,1,0,2,-4150,-971.7,-44146.84,39024.52,2.88,107.57,67.7,39.87,-0.44,0.67,48.04,OK  
7,A019,12,1,0,2,-4150,-1102.44,-44146.1,38900.14,2.33,108.68,67.84,40.84,0.62,0.78,44.73,OK  
7,A019,13,1,0,2,-4150,-1233.17,-44145.26,38760.22,6.71,108.99,67.88,41.11,0.88,0.79,42.97,OK  
7,A019,14,1,0,2,-4150,-1363.93,-44144.51,38635.84,4.38,107.27,67.93,39.34,-0.89,0.81,42.97,OK  
7,A019,15,1,0,2,-4150,-1494.66,-44151.49,38503.65,1.27,109.04,67.92,41.12,0.79,0.73,46.41,OK  
7,A019,16,1,0,2,-4150,-1625.4,-44142.93,38371.54,3.89,108.4,67.76,40.64,0.13,0.58,46.41,OK  
7,A019,17,1,0,2,-4150,-1756.16,-44142.14,38239.39,3.4,103.5,68.12,35.38,-4.82,0.9,48.04,OK  
7,A019,18,1,0,2,-4150,-1886.89,-44149.16,38114.97,0.67,109.48,68.18,41.3,1.08,0.9,45.58,OK  
7,A019,19,1,0,2,-4150,-2017.62,-44140.6,37982.87,4.4,108.28,67.84,40.44,-0.14,0.56,45.58,OK  
7,A019,20,1,0,1,-4150,-2148.38,-44139.81,37850.72,6.37,107.36,67.35,40.01,-1.12,0.04,41.14,OK  
7,A019,21,1,0,1,-4150,-2279.12,-44146.79,37718.52,3.44,110.48,66.99,55.49,1.92,-0.38,44.73,OK  
7,A019,22,1,0,1,-4150,-2409.85,-44138.27,37594.19,5.58,107.06,66.92,40.13,-1.52,-0.45,48.04,OK  
7,A019,23,1,0,1,-4150,-2540.61,-44145.25,37462,2.54,106.33,67.01,39.32,-2.33,-0.43,48.84,OK  
7,A019,24,1,0,1,-4150,-2671.34,-44144.46,37329.85,2.38,109.95,67.13,42.82,1.24,-0.34,46.41,OK  
7,A019,25,1,0,1,-4150,-2802.08,-44143.66,37197.7,2.51,108.81,67.33,41.48,0.05,-0.17,48.04,OK  
7,A019,26,1,0,1,-4150,-2932.84,-44150.64,37065.5,5.77,107.45,67.23,40.22,-1.4,-0.34,50.39,OK  
7,A019,27,1,0,1,-4150,-3063.57,-44142.08,36933.4,2.8,110.48,67.31,43.17,1.61,-0.25,48.04,OK  
7,A019,28,1,0,1,-4150,-3194.3,-44141.29,36801.25,5.98,110.21,67.43,42.78,1.29,-0.17,44.73,OK  
7,A019,29,1,0,1,-4073.55,4143.93,-44068.69,44140.13,1.47,109.3,67.35,41.95,3.81,2.08,50.39,OK  
7,A019,30,1,0,1,-4152.32,2915.69,-44146.83,42911.4,2,109.05,67.44,41.61,2.68,1.47,44.73,OK  
7,A019,31,1,0,1,-4152.32,2784.96,-44146.04,42779.25,2.46,110.43,67.22,43.21,4,1.21,43.86,OK  
7,A019,32,1,0,1,-4152.32,2654.2,-44145.29,42654.88,1.57,106.43,67.08,39.36,-0.04,1.04,47.24,OK  
7,A019,33,1,0,1,-4152.32,2523.46,-44144.45,42514.95,3.44,110.55,67.21,43.34,4.02,1.14,39.23,OK  
7,A019,34,1,0,1,-4152.32,2392.71,-44151.48,42390.53,1.63,106.56,67.27,39.3,-0.05,1.13,52.63,OK  
7,A019,35,1,0,2,-4152.32,2261.97,-44150.69,42258.38,2.52,106.94,67.08,39.86,0.27,0.92,38.23,OK  
7,A019,36,1,0,2,-4152.32,2131.24,-44149.9,42126.23,3.55,107.73,67.15,40.58,1.01,0.95,54.78,OK  
7,A019,37,1,0,2,-4152.32,2000.48,-44149.1,41994.08,3.75,107.57,66.93,40.64,0.8,0.7,47.24,OK  
7,A019,38,1,0,2,-4152.32,1869.74,-44148.36,41869.71,2.82,105.39,67,38.39,-1.43,0.74,46.41,OK  
7,A019,39,1,0,2,-4152.32,1739.01,-44147.57,41737.56,4.47,107.58,67.1,40.48,0.71,0.81,48.84,OK  
7,A019,40,1,0,2,-4152.32,1608.25,-44146.82,41613.18,1.91,106.52,67.04,39.48,-0.4,0.71,51.89,OK  
7,A019,41,1,0,2,-4152.32,1477.52,-44146.03,41481.03,3.67,106.36,67.02,39.34,-0.62,0.67,43.86,OK  
7,A019,42,1,0,2,-4152.32,1346.78,-44153.01,41348.84,2.2,108.31,67.12,41.19,1.25,0.69,42.97,OK  
7,A019,43,1,0,2,-4152.32,1216.02,-44144.4,41208.96,6.11,109.78,66.95,42.83,2.7,0.53,46.41,OK  
7,A019,44,1,0,2,-4152.32,1085.29,-44151.38,41076.76,5.83,106.14,66.74,39.4,-1.03,0.25,48.04,OK  
7,A019,45,1,0,2,-4152.32,954.56,-44142.86,40952.44,3.71,109.21,66.63,42.58,2.03,0.15,42.07,OK  
7,A019,46,1,0,2,-4152.32,823.8,-44149.84,40820.24,3.07,107.11,66.56,40.55,-0.16,0,45.58,OK  
7,A019,47,1,0,2,-4152.32,693.06,-44149.05,40688.09,2.66,105.84,66.22,39.62,-1.48,-0.36,47.24,OK  
7,A019,48,1,0,2,-4152.32,562.33,-44148.25,40555.94,4.43,109.08,66.38,42.7,1.71,-0.24,47.24,OK  
7,A019,49,1,0,1,-4073.55,4328.31,-44069.81,44326.69,3.23,107.94,67.34,40.6,2.52,2.11,42.07,OK  
7,A019,50,1,0,1,-4073.55,4697.1,-44064.22,44692.09,3.34,108.75,67.1,41.66,3.52,2,48.84,OK  
7,A019,51,1,0,1,-4073.55,4512.69,-44070.88,44505.48,6.11,105.78,67,38.78,0.43,1.81,52.63,OK  
7,A019,52,1,0,1,-4073.55,3994.3,-44067.8,43992.43,2.81,110.27,67.6,42.67,4.72,2.3,44.73,OK  
7,A019,53,1,0,2,-4073.55,3863.57,-44067.01,43860.28,2.6,108.77,67.8,40.97,3.18,2.46,41.14,OK  
7,A019,54,1,0,2,-4073.55,3732.83,-44073.99,43728.08,5.41,109.49,68.12,41.37,3.81,2.72,42.97,OK  
7,A019,55,1,0,2,-4073.55,3602.08,-44065.42,43595.98,3.32,109.95,68.15,41.79,4.24,2.75,43.86,OK  
7,A019,56,1,0,2,-4073.55,3471.34,-44072.41,43463.79,3.63,107.26,67.97,39.3,1.47,2.5,51.89,OK  
7,A019,57,1,0,2,-4073.55,3340.61,-44071.66,43339.41,1.62,109.63,67.98,41.65,3.79,2.48,42.07,OK  
7,A019,58,1,0,2,-4073.55,3209.85,-44070.87,43207.26,2.71,109.74,67.84,41.9,3.85,2.31,45.58,OK  
7,A019,59,1,0,2,-4073.55,3079.12,-44070.07,43075.11,3.43,106.7,67.67,39.04,0.76,2.1,46.41,OK  
7,A019,60,1,0,1,441.55,-3863.04,-39558.55,36136.87,1.98,89.28,45.33,43.95,1.73,-0.76,50.39,OK  
7,A019,61,1,0,1,441.55,-3716.15,-39559.44,36284.56,2.02,88.67,45.49,43.18,1.17,-0.57,51.15,OK  
7,A019,62,1,0,1,441.55,-3422.37,-39553.43,36580,2.86,87.31,46.14,41.17,-0.03,0.18,43.86,OK  
7,A019,63,1,0,1,441.55,-3569.26,-39552.55,36432.31,6.26,87.07,45.84,41.23,-0.33,-0.15,50.39,OK  
7,A019,64,1,0,1,447.34,205,-39551.84,40202.59,3.18,83.82,43.87,39.96,-1.98,-1.1,48.04,OK  
7,A019,65,1,0,2,447.34,74.24,-39551.04,40070.44,2.45,86.81,44.16,42.65,0.95,-0.84,45.58,OK  
7,A019,66,1,0,2,433.88,-89.18,-39565.61,39907.1,2.81,86.74,44.83,41.91,0.75,-0.28,49.62,OK  
7,A019,67,1,0,2,433.88,-219.91,-39564.82,39774.95,1.72,86.07,45.03,41.04,0.02,-0.11,51.15,OK  
