AA-A1-A1-01
AA-A1-A1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
0,0,0,2,2.2838,3.0312,2.2534,2.422,2.4952,0.0118,2.9229,109.2092,0.2734,0.2468,2,447.0281
1,0,1000,3,2.2536,3.0427,2.2199,2.424,2.4986,0.0222,2.9338,109.7965,0.2718,0.2443,3,446.838
2,0,2000,2,2.2287,3.0126,2.1936,2.4023,2.4787,0.1396,2.9096,108.0836,0.2732,0.2514,2,449.7367
3,0,3000,82,2.252,3.0167,2.2145,2.4128,2.488,0.0568,2.9152,107.2048,0.2721,0.2478,2,448.2428
4,0,4000,3,2.2793,3.021,2.249,2.4151,2.4884,0.004,2.9132,109.1764,0.2717,0.2448,3,447.6802
5,0,5000,3,2.2734,3.0243,2.243,2.418,2.4916,0.0357,2.9174,108.7015,0.2728,0.2446,3,447.228
6,0,6000,3,2.2848,3.0254,2.2541,2.4247,2.4977,0.0107,2.9216,108.5478,0.2712,0.2432,3,447.0847
7,0,7000,82,2.2666,3.0263,2.2329,2.42,2.494,0.0249,2.9222,107.9758,0.274,0.2475,2,447.3502
8,0,8000,3,2.2681,3.0262,2.2344,2.4184,2.4924,0.0022,2.9191,108.8299,0.271,0.2426,3,447.1776
9,0,9000,82,2.2721,3.0271,2.239,2.4199,2.494,0.0012,2.9206,107.6419,0.2726,0.2427,3,446.9782
10,0,10000,3,2.2729,3.0234,2.2425,2.4207,2.4948,0.0281,2.9174,109.1152,0.2738,0.2459,3,447.1036
11,0,11000,3,2.2708,3.0226,2.2379,2.4199,2.494,0.0088,2.9171,108.256,0.2719,0.244,3,447.2959
12,0,12000,3,2.2702,3.0226,2.2369,2.4176,2.4917,0.0085,2.9153,108.9126,0.271,0.2442,3,447.5889
13,0,13000,82,2.2741,3.027,2.2427,2.4199,2.494,0.036,2.9201,107.999,0.2711,0.2421,3,447.1831
14,0,14000,3,2.2762,3.0223,2.2455,2.4213,2.4956,0.0119,2.9172,108.3911,0.2709,0.2415,3,446.9947
15,0,15000,3,2.264,3.0257,2.2324,2.4197,2.4941,0.1305,2.9191,108.7437,0.2729,0.2455,3,447.2936
16,0,16000,3,2.2727,3.0219,2.2416,2.4182,2.4925,0.0423,2.9156,109.2717,0.273,0.2461,3,447.4933
17,0,17000,3,2.2619,3.0228,2.2298,2.4199,2.4944,0.0184,2.9167,109.6781,0.2732,0.2464,3,447.2152
18,0,18000,3,2.27,3.0264,2.2392,2.4205,2.495,0.1216,2.9191,108.8726,0.2714,0.2433,3,446.7515
19,0,19000,3,2.2724,3.0257,2.2386,2.4185,2.4924,0.0045,2.9181,109.3224,0.2713,0.2434,3,447.2497
20,0,20000,3,2.2729,3.0214,2.2402,2.4224,2.4964,0.0281,2.9168,109.8229,0.2726,0.2465,3,446.7569
21,0,21000,3,2.2747,3.0221,2.242,2.4218,2.4955,0.0102,2.9163,109.7134,0.2728,0.2457,3,446.7762
22,0,22000,2,2.2773,3.0243,2.2458,2.4177,2.4913,0.0155,2.917,110.1012,0.2735,0.2476,2,447.2169
23,0,23000,2,2.2721,3.0232,2.2379,2.4173,2.491,0.0094,2.915,110.4207,0.2732,0.2479,2,447.048
24,0,24000,82,2.233,3.0003,2.1968,2.4037,2.4794,0.0531,2.9003,106.7859,0.2706,0.2459,3,449.3608
