BB-B1-B1-01
BB-B1-B1-01
X,Y,COMP,B,F1-1,F1-2,F1-3,F2,F3,IR,F4,IV,W1,W2,C,W
0,0,0,82,2.2393,3.0077,2.2091,2.4049,2.4875,0.0036,2.9051,103.4648,0.2726,0.2441,3,446.5902
1,0,1000,82,2.2374,3.0054,2.2078,2.4028,2.4858,0.004,2.9029,105.217,0.2737,0.2482,2,446.7318
2,0,2000,82,2.2737,3.0361,2.2432,2.4222,2.4969,0.0178,2.9316,103.5095,0.2728,0.245,3,447.0847
3,0,3000,82,2.2719,3.0378,2.2396,2.421,2.4961,0.0042,2.9331,104.2738,0.2731,0.2454,3,446.4081
4,0,4000,82,2.2412,3.0085,2.2093,2.4038,2.4851,0.0104,2.9041,104.7693,0.2758,0.2496,2,447.0331
5,0,5000,82,2.2141,3.0258,2.1856,2.4033,2.4846,0.1113,2.9127,106.3372,0.2748,0.2493,2,447.19
6,0,6000,82,2.2811,3.0356,2.2495,2.4199,2.4942,0.0078,2.9269,105.0644,0.2754,0.2485,2,446.6671
7,0,7000,82,2.283,3.0321,2.2519,2.4217,2.4959,0.0043,2.9256,105.6155,0.2756,0.247,2,446.3631
8,0,8000,82,2.1962,3.0234,2.1669,2.3988,2.4826,0.0359,2.9106,105.7691,0.2757,0.2496,2,447.3975
9,0,9000,82,2.2287,3.0192,2.2008,2.4075,2.4882,0.0207,2.9088,107.1796,0.2766,0.2511,2,446.3755
10,0,10000,82,2.2199,2.9911,2.1896,2.4023,2.4844,0.0044,2.8918,104.8249,0.2726,0.2446,3,446.9794
11,0,11000,82,2.2362,2.9913,2.206,2.4066,2.4866,0.0077,2.8928,105.762,0.2725,0.2449,3,446.8465
12,0,12000,82,2.2162,2.9817,2.1878,2.3939,2.4779,0.0151,2.8855,103.6555,0.2746,0.2488,2,447.9905
13,0,13000,82,2.2272,2.9843,2.1983,2.399,2.4818,0.0098,2.8876,103.9655,0.2745,0.2491,2,447.4438
14,0,14000,82,2.2172,2.9874,2.1879,2.4011,2.4835,0.0146,2.8889,104.8466,0.2736,0.2464,2,446.9482
15,0,15000,82,2.2262,2.9936,2.1949,2.4066,2.4878,0.0075,2.8949,106.2538,0.274,0.2481,2,446.4575
16,0,16000,82,2.2084,2.9939,2.1773,2.4012,2.4844,0.0009,2.8934,105.8856,0.2727,0.2449,3,446.8109
17,0,17000,82,2.2123,2.9931,2.1843,2.4023,2.4849,0.006,2.894,106.7003,0.2737,0.2487,2,446.8258
18,0,18000,82,2.2066,2.9907,2.178,2.4009,2.4847,0.0175,2.8913,105.4913,0.2752,0.2466,2,446.5999
19,0,19000,82,2.2147,2.9892,2.1841,2.4023,2.4853,0.0075,2.8914,105.8655,0.2746,0.2478,2,446.5465
20,0,20000,82,2.231,2.997,2.1997,2.4074,2.4881,0.009,2.8963,106.8202,0.2741,0.2482,2,446.4472
21,0,21000,82,2.2139,2.9863,2.1865,2.4009,2.4829,0.0129,2.8881,105.6615,0.2725,0.2462,3,447.0714
22,0,22000,82,2.2371,2.9647,2.2058,2.4055,2.4865,0.0353,2.8735,104.1468,0.2734,0.2474,2,446.9195
23,0,23000,82,2.2058,3.0239,2.1757,2.3995,2.4824,0.014,2.9107,104.9691,0.2744,0.2483,2,447.1975
24,0,24000,82,2.2079,3.253,2.1642,2.4076,2.4882,0.0227,3.0933,106.0854,0.2741,0.2495,2,447.9096
25,0,25000,82,2.21,3.238,2.1668,2.4026,2.4825,0.0145,3.0792,105.5908,0.2733,0.2505,2,448.7602
