DCC0001	 P12314 	 P00533 	 O75015 	 P09871 	 P00736 	 P02745 	 P02746 	 P02747 	 P08637 	 P12318 	 P31994 	 P31995 	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0002	 P48551 	 P17181 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0003	 P48551 	 P17181 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0006	 P14784 	 P01589 	 P31785 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0007	 P12314 	 O75015 	 P09871 	 P00736 	 P02745 	 P02746 	 P02747 	 P08637 	 P12318 	 P31994 	 P31995 	 P01375 	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0008	 P12314 	 P00533 	 O75015 	 P09871 	 P00736 	 P02745 	 P02746 	 P02747 	 P08637 	 P12318 	 P31994 	 P31995 	 P04626 	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0009	 P12314 	 O75015 	 P09871 	 P00736 	 P02745 	 P02746 	 P02747 	 P08637 	 P12318 	 P31994 	 P31995 	 P11836 	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0010	   	   	   	   	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0011	 P49069 	 P62937 	 Q96LZ3 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0012	 P12314 	 O75015 	 P00736 	 P02745 	 P02746 	 P02747 	 P08637 	 P12318 	 P31994 	 P31995 	 P15692 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0013	 Q8IVH4 	 Q99707 	 Q9UBK8 	 P22033 	 Q9Y4U1 	 P42898 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0014	 P30556 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0015	 P12821 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0016	 Q99460 	 Q13200 	 P20618 	 P28074 	 P49721 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0017	 P20711 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0018	 P20309 	 P41143 	 P23975 	 P28335 	 P41145 	 Q8TCU5 	 P31645 	 P35372 	 P36544 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0020	 P61177 	 P60725 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
DCC0021	 P30542 	 Q07343 	 P21817 	 P29274 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0022	 O76074 	 P18545 	 Q13956 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0023	 P00374 	 P13922 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0024	 P61177 	 P60725 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	
DCC0025	 P28702 	 P13631 	 P10826 	 P19793 	 P10276 	 P48443 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0026	 P20648 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0027	 Q09428 	 P48048 	 Q14654 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0029	 P20701 	 P04035 	 Q92769 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0030	 Q5DNL9 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0031	 P47869 	 P31644 	 P48169 	 P34903 	 Q16445 	 P14867 	 Q13002 	 P42262 	 P43681 	 P36544 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0032	 P35498 	 Q14524 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0033	 P10613 	 O15554 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
DCC0034	 P0A6J8 	 Q9L888 	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  
